,영업일자,느티나무 셀프BBQ_1인 수저세트,느티나무 셀프BBQ_BBQ55(단체),"느티나무 셀프BBQ_대여료 30,000원","느티나무 셀프BBQ_대여료 60,000원","느티나무 셀프BBQ_대여료 90,000원","느티나무 셀프BBQ_본삼겹 (단품,실내)",느티나무 셀프BBQ_스프라이트 (단체),느티나무 셀프BBQ_신라면,느티나무 셀프BBQ_쌈야채세트,느티나무 셀프BBQ_쌈장,느티나무 셀프BBQ_육개장 사발면,느티나무 셀프BBQ_일회용 소주컵,느티나무 셀프BBQ_일회용 종이컵,느티나무 셀프BBQ_잔디그늘집 대여료 (12인석),느티나무 셀프BBQ_잔디그늘집 대여료 (6인석),느티나무 셀프BBQ_잔디그늘집 의자 추가,느티나무 셀프BBQ_참이슬 (단체),느티나무 셀프BBQ_친환경 접시 14cm,느티나무 셀프BBQ_친환경 접시 23cm,느티나무 셀프BBQ_카스 병(단체),느티나무 셀프BBQ_콜라 (단체),느티나무 셀프BBQ_햇반,느티나무 셀프BBQ_허브솔트,담하_(단체) 공깃밥,담하_(단체) 생목살 김치전골 2.0,담하_(단체) 은이버섯 갈비탕,담하_(단체) 한우 우거지 국밥,담하_(단체) 황태해장국 3/27까지,담하_(정식) 된장찌개,담하_(정식) 물냉면,담하_(정식) 비빔냉면,담하_(후식) 된장찌개,담하_(후식) 물냉면,담하_(후식) 비빔냉면,담하_갑오징어 비빔밥,담하_갱시기,담하_공깃밥,담하_꼬막 비빔밥,담하_느린마을 막걸리,담하_담하 한우 불고기,담하_담하 한우 불고기 정식,담하_더덕 한우 지짐,담하_들깨 양지탕,담하_라면사리,담하_룸 이용료,담하_메밀면 사리,담하_명인안동소주,담하_명태회 비빔냉면,담하_문막 복분자 칵테일,담하_봉평메밀 물냉면,담하_생목살 김치찌개,담하_스프라이트,담하_은이버섯 갈비탕,담하_제로콜라,담하_참이슬,담하_처음처럼,담하_카스,담하_콜라,담하_테라,담하_하동 매실 칵테일,담하_한우 떡갈비 정식,담하_한우 미역국 정식,담하_한우 우거지 국밥,담하_한우 차돌박이 된장찌개,담하_황태해장국,라그로타_AUS (200g),라그로타_G-Charge(3),라그로타_Gls.Sileni,라그로타_Gls.미션 서드,라그로타_Open Food,라그로타_그릴드 비프 샐러드,라그로타_까르보나라,라그로타_모둠 해산물 플래터,라그로타_미션 서드 카베르네 쉬라,라그로타_버섯 크림 리조또,라그로타_빵 추가 (1인),라그로타_스프라이트,라그로타_시저 샐러드,라그로타_아메리카노,라그로타_알리오 에 올리오,라그로타_양갈비 (4ps),라그로타_자몽리치에이드,라그로타_제로콜라,라그로타_카스,라그로타_콜라,라그로타_하이네켄(생),라그로타_한우 (200g),라그로타_해산물 토마토 리조또,라그로타_해산물 토마토 스튜 파스타,라그로타_해산물 토마토 스파게티,"미라시아_(단체)브런치주중 36,000",미라시아_(오븐) 하와이안 쉬림프 피자,미라시아_(화덕) 불고기 페퍼로니 반반피자,미라시아_BBQ Platter,미라시아_BBQ 고기추가,미라시아_공깃밥,미라시아_글라스와인 (레드),미라시아_레인보우칵테일(알코올),미라시아_미라시아 브런치 (패키지),미라시아_버드와이저(무제한),미라시아_보일링 랍스타 플래터,미라시아_보일링 랍스타 플래터(덜매운맛),미라시아_브런치 2인 패키지,미라시아_브런치 4인 패키지,미라시아_브런치(대인) 주말,미라시아_브런치(대인) 주중,미라시아_브런치(어린이),미라시아_쉬림프 투움바 파스타,미라시아_스텔라(무제한),미라시아_스프라이트,미라시아_애플망고 에이드,미라시아_얼그레이 하이볼,미라시아_오븐구이 윙과 킬바사소세지,미라시아_유자 하이볼,미라시아_잭 애플 토닉,미라시아_칠리 치즈 프라이,미라시아_코카콜라,미라시아_코카콜라(제로),미라시아_콥 샐러드,미라시아_파스타면 추가(150g),미라시아_핑크레몬에이드,연회장_Cass Beer,연회장_Conference L1,연회장_Conference L2,연회장_Conference L3,연회장_Conference M1,연회장_Conference M8,연회장_Conference M9,연회장_Convention Hall,연회장_Cookie Platter,연회장_Grand Ballroom,연회장_OPUS 2,연회장_Regular Coffee,연회장_골뱅이무침,연회장_공깃밥,연회장_돈목살 김치찌개 (밥포함),연회장_로제 치즈떡볶이,연회장_마라샹궈,연회장_매콤 무뼈닭발&계란찜,연회장_모둠 돈육구이(3인),연회장_삼겹살추가 (200g),연회장_야채추가,연회장_왕갈비치킨,연회장_주먹밥 (2ea),카페테리아_공깃밥(추가),카페테리아_구슬아이스크림,카페테리아_단체식 13000(신),카페테리아_단체식 18000(신),카페테리아_돼지고기 김치찌개,카페테리아_복숭아 아이스티,카페테리아_새우 볶음밥,카페테리아_새우튀김 우동,카페테리아_샷 추가,카페테리아_수제 등심 돈까스,카페테리아_아메리카노(HOT),카페테리아_아메리카노(ICE),카페테리아_약 고추장 돌솥비빔밥,카페테리아_어린이 돈까스,카페테리아_오픈푸드,카페테리아_진사골 설렁탕,카페테리아_짜장면,카페테리아_짜장밥,카페테리아_짬뽕,카페테리아_짬뽕밥,카페테리아_치즈돈까스,카페테리아_카페라떼(HOT),카페테리아_카페라떼(ICE),카페테리아_한상 삼겹구이 정식(2인) 소요시간 약 15~20분,포레스트릿_꼬치어묵,포레스트릿_떡볶이,포레스트릿_복숭아 아이스티,포레스트릿_생수,포레스트릿_스프라이트,포레스트릿_아메리카노(HOT),포레스트릿_아메리카노(ICE),포레스트릿_치즈 핫도그,포레스트릿_카페라떼(HOT),포레스트릿_카페라떼(ICE),포레스트릿_코카콜라,포레스트릿_페스츄리 소시지,화담숲주막_느린마을 막걸리,화담숲주막_단호박 식혜,화담숲주막_병천순대,화담숲주막_스프라이트,화담숲주막_참살이 막걸리,화담숲주막_찹쌀식혜,화담숲주막_콜라,화담숲주막_해물파전,화담숲카페_메밀미숫가루,화담숲카페_아메리카노 HOT,화담숲카페_아메리카노 ICE,화담숲카페_카페라떼 ICE,화담숲카페_현미뻥스크림
10,2023-01-11,0,19,11,1,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,10,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,34,0,0,39,0,0,16,3,0,4,0,0,0,0,35,1,18,3,0,3,5,1,3,0,19,5,11,11,2,0,0,0,4,1,0,0,0,1,0,8,0,0,0,0,0,1,3,2,1,5,0,2,0,3,0,0,2,8,0,0,4,1,20,0,0,0,7,0,0,34,6,0,0,0,4,0,2,0,0,0,0,0,0,0,0,22,0,1,0,1,0,0,1,0,0,0,0,1,0,2,2,0,1,4,0,0,0,0,62,60,0,0,74,68,65,64,9,150,87,79,71,34,0,0,77,10,48,24,89,47,33,0,345,243,169,260,88,86,190,198,49,14,240,91,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2023-01-12,0,0,10,3,0,0,36,0,0,0,0,0,0,0,0,0,12,0,0,43,27,0,0,0,0,0,0,50,0,0,0,10,0,0,0,0,42,0,2,41,0,0,2,0,4,4,0,0,0,0,19,6,15,7,5,0,1,6,0,0,7,14,10,7,15,0,0,1,6,0,0,0,0,0,0,6,30,0,0,0,0,0,10,1,24,0,0,0,0,7,0,0,1,8,0,1,1,0,18,0,0,0,3,2,0,42,22,0,0,0,5,0,0,0,0,0,0,0,0,0,0,59,1,1,1,1,1,0,1,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,57,54,0,0,78,69,48,72,14,141,47,80,75,22,0,0,79,19,67,25,104,31,25,0,383,269,243,307,138,102,199,216,56,27,209,107,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2023-01-13,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,62,0,0,0,11,0,0,0,0,40,0,0,64,0,0,5,0,2,5,0,0,0,0,17,0,17,0,10,0,2,1,15,0,12,2,7,16,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,0,1,0,0,1,0,7,16,0,1,9,1,1,0,0,74,0,0,0,6,0,0,8,3,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,5,1,1,0,8,0,8,4,0,1,12,0,3,0,2,22,28,0,0,26,16,20,26,0,46,22,34,29,11,0,0,23,3,23,13,27,8,10,0,205,122,98,155,85,36,94,88,7,10,144,42,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2023-01-14,0,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,13,0,0,0,0,63,0,1,64,0,0,9,0,0,7,0,0,0,0,17,1,3,1,3,0,4,6,1,0,11,9,31,8,11,0,0,0,7,1,0,0,0,3,0,10,3,0,1,0,0,6,2,1,2,0,0,5,0,8,0,0,2,14,1,4,0,1,16,0,0,0,355,0,20,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10,6,0,0,16,0,1,0,2,53,58,0,0,69,58,33,72,6,112,72,133,41,37,0,0,49,5,44,33,76,37,37,0,474,281,141,297,109,81,187,200,40,26,253,94,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2023-01-15,0,0,12,1,2,4,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,95,0,2,84,0,0,4,1,2,7,0,0,0,0,43,4,18,0,0,2,4,4,4,0,38,1,7,28,6,0,0,1,4,1,0,0,0,0,0,4,0,0,2,0,0,4,2,0,1,10,0,2,0,3,0,0,1,8,0,3,0,0,70,0,0,0,4,2,56,0,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,8,9,0,5,12,0,2,0,2,106,68,0,0,104,67,27,127,4,206,174,111,112,53,0,0,105,24,64,31,96,124,43,0,649,379,86,218,75,148,86,288,67,9,192,118,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2023-01-16,0,50,2,3,0,0,17,0,0,0,0,0,0,0,0,0,20,0,0,22,15,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,36,0,1,15,0,0,8,0,0,2,0,0,0,0,17,23,13,1,4,0,2,1,0,0,16,8,12,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,37,0,2,13,1,2,1,1,36,0,0,0,16,3,0,37,15,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,1,0,3,3,0,0,5,0,0,0,0,64,70,0,0,103,44,46,95,5,137,84,65,86,28,1,0,70,12,33,22,112,69,21,0,450,272,85,162,60,106,60,160,48,7,168,92,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2023-01-17,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,0,1,33,0,0,10,2,0,5,0,0,0,0,28,0,12,0,9,0,0,1,5,0,16,0,3,16,45,0,0,1,0,0,0,0,0,3,0,7,1,0,2,0,0,1,1,0,5,2,0,1,0,3,75,0,3,9,0,0,0,2,14,0,0,0,9,1,0,27,11,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,3,5,0,0,0,2,36,53,0,0,81,55,42,66,5,125,71,62,58,38,1,0,57,9,43,18,80,59,13,0,435,265,88,203,78,93,94,204,48,16,200,114,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2023-01-18,0,0,4,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,0,0,0,6,0,0,0,0,26,0,0,18,0,0,9,0,4,2,0,0,0,0,18,4,5,7,4,0,0,2,0,0,9,2,1,6,2,0,0,0,1,11,0,0,0,1,0,5,0,0,1,0,0,1,1,0,0,2,0,1,0,5,39,0,3,13,0,4,1,2,32,0,0,0,4,0,0,43,8,0,0,0,5,1,5,0,0,0,0,0,0,0,0,55,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,101,0,0,82,63,46,88,5,164,88,93,91,35,0,0,69,17,54,29,104,69,27,0,418,256,101,172,78,103,95,167,32,13,185,74,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2023-01-19,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,34,0,0,31,0,0,7,0,0,3,0,0,0,0,29,0,7,3,2,1,1,3,1,0,20,1,6,43,2,0,5,0,3,0,0,0,0,1,0,4,1,0,1,0,0,1,2,2,2,0,0,0,0,7,14,0,2,10,0,3,0,0,48,0,0,0,8,0,0,31,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,2,3,0,0,0,5,0,3,4,0,2,8,0,1,0,3,59,78,0,0,82,58,38,88,6,136,63,125,15,29,2,0,58,12,52,19,82,46,25,0,470,279,151,237,88,91,133,195,37,27,244,129,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2023-01-20,0,0,4,5,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,54,0,3,66,0,0,8,1,0,13,0,0,0,0,38,1,7,1,3,1,1,2,1,0,12,0,0,12,0,0,0,0,5,1,0,0,0,2,0,3,2,0,1,0,0,0,0,2,1,0,0,3,0,4,0,0,5,15,3,3,3,0,100,0,0,0,11,1,0,25,5,0,0,0,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,1,0,1,12,0,1,0,2,75,61,0,0,100,57,49,96,6,167,166,101,72,35,1,0,70,13,56,24,90,114,30,0,710,353,77,188,95,133,61,221,55,16,211,144,0,0,0,0,0,0,0,0,0,0,0,0,0
